Query	Closest-1	Closest-2	Closest-3
What was the worst place you cried during depression? What did you do after that up to the end of that day?	How hard is to to get into Imperial College for Aerospace Engineering?	How can you use an e-gift cards in stores?	What is the worst pickup line someone has used on you?
Is it too late to start medical school at 32?	Is it too late to start medical school at 32?	Is it too late to start medical school at 32?	Is it too late to start medical school at 32?
What are your New Year's resolutions for 2017?	What is/are your New Year resolutions for 2017?	What is/are your New Year resolutions for 2017?	What is/are your New Year resolutions for 2017?
How can I get wifi driver for my hp laptop with windows 7 os?	Did Russia lose its important ally and friend “India” to the US and traded it for Pakistan?	What are the essential things I need to carry to italy when you are going there for graduate studies. I am an indian female?	Do white women get jealous when they see handsome white men dating women of color?
Why do I cry when I sing?	What are the best restaurants in Edinburgh?	Why do we turn cellphones off during commercial flights?	Are doctors important?
How do you improve your mental toughness?	What are best places to visit in mangalore?	Can I give my dog asprin?	Can I give my dog asprin?
Can a private limited company in India issue equity/shares to a promoter with delayed payment options?	What are the results of the Schrodinger cat experiment? Has it been done? Has it been tested? Was the cat alive or dead?	Has anyone found an adapter to use new iPhone 7 lightning earpods on a Macbook Pro?	Why does Apple give 5 GB of iCloud storage, even if I own multiple iOS devices?
How do I earn more money in malaysia?	What are the benefits of wearing rudraksha or spatik (quartz crystal) mala?	As a black American, how have your experiences with racism or race relations differed from those of your parents or grandparents?	Where can you buy imported cigarettes in Delhi?
What is the difference between mobile banking and internet banking?	What is the difference between mobile banking and internet banking?	What are the shortcuts to move on-site in indian IT industry?	What is it like to be a graduate student in physics at MIT?
How can I learn machine learning better?	How can I learn machine learning better?	How can I learn machine learning better?	How can I learn machine learning better?
Should India have a one child norm?	Should India have a one child norm?	Should India have a one child norm?	How much has India contributed to mathematics?
Should I become a doctor or lawyer?	How do you become both a lawyer and a doctor?	How good/bad will it be for India if hillary wins the election?	What is the best protein for gaining muscle and lose fat?
Which type of paddy separator is better: compartment or tray?	Why does chicken reheated in a microwave smell terrible?	How is it possible that the Peepal tree releases oxygen all the time?	Which is the best training institute in Pune for Oracle DBA training?
Where was Luke Skywalker?	Where was Luke Skywalker?	Which are best consulting firms?	Which are best consulting firms?
Why is my nose piercing bleeding?	Why is my nose piercing bleeding?	What is trade surplus and trade deficit?	Is Stamford Ct a good city for retirees?
How do I overcome my distractions?	Should I grow my hair?	What is demand curve?	What is demand curve?
How vital is the automobile to the American way?	Why are some proteins soluble in water?	What is it like to be a software engineering intern at Reddit?	What should I do if I inadvertently did not mention my hostel address in the passport application?
How do I get a job in VLSI companies?	How do I get a job in VLSI companies?	How do I get a job in VLSI companies?	How do I get a job in VLSI companies?
How much did Michael Jackson have in assets when he died?	Why is gypsum called plaster of paris?	How can you reheat omelette?	How can you reheat omelette?
Why did Chinese Mandarin officials hang a painting of the ocean and the sun behind them?	Why did Chinese Mandarin officials hang a painting of the ocean and the sun behind them?	What does it mean when a girl replies to messages really late but types long replies?	What are some personal process server companies that can deliver US court divorce papers to my spouse in India?
Are all Puranas also written in the Mahabharata?	What are some interesting scientific facts relating to Mahabharata?	How do surgeons develop steady hands outside of the OR?	What is the free period in NDA lingo called?
